Nome,Tipo,Fase,Módulo,Prioridade,Data início,Data fim,Status,Camada,Descrição,Observações
Webhook n8n campaign-trigger,Entrega,F3 — WhatsApp & Campanhas,Campanhas,Crítica,2026-06-17,2026-06-30,Não iniciada,Integração,POST /api/v1/webhooks/n8n/campaign-trigger,—
Webhook inbound WhatsApp,Entrega,F3 — WhatsApp & Campanhas,WhatsApp,Crítica,2026-06-17,2026-06-30,Não iniciada,Integração,POST /api/v1/webhooks/whatsapp/inbound registrar mensagem,—
Payload n8n com contexto tenant,Tarefa técnica,F3 — WhatsApp & Campanhas,Campanhas,Crítica,2026-06-17,2026-06-30,Não iniciada,Integração,Sempre incluir academy_id whatsapp_instance_id campaign_id lead_id,—
Workflow n8n v1 exportado,Entrega,F3 — WhatsApp & Campanhas,Campanhas,Crítica,2026-06-17,2026-06-30,Não iniciada,Integração,n8n/workflows/campaign-start.json versionado,—
Ativar campanha enfileirar leads por tag,Tarefa técnica,F3 — WhatsApp & Campanhas,Campanhas,Crítica,2026-06-17,2026-06-30,Não iniciada,Backend,Selecionar leads tag → disparo WhatsApp via n8n,—
Status WhatsApp no dashboard,Entrega,F3 — WhatsApp & Campanhas,Dashboard,Crítica,2026-06-17,2026-06-30,Não iniciada,Frontend,Indicador conexão WhatsApp no dashboard,—
Migration conversations e messages,Entrega,F4 — Chat IA,Chat IA,Alta,2026-07-01,2026-07-07,Não iniciada,Database,Tabelas com academy_id lead_id whatsapp_instance_id,—
ai_service.py OpenAI contextualizado,Entrega,F4 — Chat IA,Chat IA,Alta,2026-07-01,2026-07-07,Não iniciada,Backend,Prompt com academy_profiles + campaigns.ai_prompt,—
Fluxo inbound WhatsApp → IA → resposta,Entrega,F4 — Chat IA,Chat IA,Alta,2026-07-01,2026-07-07,Não iniciada,Full-stack,Mensagem recebida → OpenAI → envio WhatsApp,—
Página Chat IA,Entrega,F4 — Chat IA,Chat IA,Alta,2026-07-01,2026-07-07,Não iniciada,Frontend,Lista conversas + thread mensagens,/chat-ia placeholder
Takeover supervisão humana,Entrega,F4 — Chat IA,Chat IA,Alta,2026-07-01,2026-07-07,Não iniciada,Full-stack,POST reply + POST takeover operador assume conversa,—
IA atualiza leads.stage automaticamente,Entrega,F4 — Chat IA,"Chat IA, CRM",Alta,2026-07-01,2026-07-07,Não iniciada,Backend,Regras simples ex. agendado → stage Agendado,—
Prompt template IA vendedor academia,Tarefa técnica,F4 — Chat IA,Chat IA,Alta,2026-07-01,2026-07-07,Não iniciada,Backend,Identidade modalidades planos tom objetivo campanha,—
Polling atualização chat MVP,Tarefa técnica,F4 — Chat IA,Chat IA,Alta,2026-07-01,2026-07-07,Não iniciada,Frontend,Preferir polling vs Realtime no MVP,—
Guardrails IA básicos,Tarefa técnica,F4 — Chat IA,Chat IA,Alta,2026-07-01,2026-07-07,Não iniciada,Backend,Não expor preços não cadastrados fallback humano,—
Geração auto perfil via IA website,Tarefa técnica,F4 — Chat IA,Academia,Média,2026-07-01,2026-07-07,Em andamento,Backend,Se tempo — analisar website/descrição Instagram,Edge Function criada; não integrada à UI
Migration tabela students,Entrega,F5 — Go-Live,Alunos,Alta,2026-07-08,2026-07-17,Não iniciada,Database,academy_id lead_id name phone email enrolled_at plan,—
Fluxo conversão lead → aluno,Entrega,F5 — Go-Live,Alunos,Alta,2026-07-08,2026-07-17,Não iniciada,Full-stack,POST /api/v1/leads/{id}/convert stage Fechado → student,—
Página Alunos,Entrega,F5 — Go-Live,Alunos,Alta,2026-07-08,2026-07-17,Não iniciada,Frontend,Lista alunos convertidos histórico básico,/alunos placeholder
Relatórios operacionais,Entrega,F5 — Go-Live,Relatórios,Alta,2026-07-08,2026-07-17,Não iniciada,Backend,Leads campanhas conversões alunos conversas,—
Export CSV/XLSX relatórios,Entrega,F5 — Go-Live,Relatórios,Alta,2026-07-08,2026-07-17,Em andamento,Backend,GET /api/v1/reports/{type}?format=csv|xlsx,LeadsReport.jsx XLSX/PDF client-side (só leads)
Smoke test E2E fluxo principal,Entrega,F5 — Go-Live,Infra,Alta,2026-07-08,2026-07-17,Não iniciada,Produto,Teste manual fluxo completo conta → aluno,—
Deploy backend DigitalOcean,Entrega,F5 — Go-Live,Infra,Alta,2026-07-08,2026-07-17,Não iniciada,Infra,Dockerfile + DO App Platform ou Droplet,—
Deploy frontend Vercel,Entrega,F5 — Go-Live,Infra,Alta,2026-07-08,2026-07-17,Em andamento,Infra,Produção gapselling-platform.vercel.app,vercel.json + dist/ existente
Runbook deploy e env vars,Entrega,F5 — Go-Live,Infra,Alta,2026-07-08,2026-07-17,Em andamento,Infra,Documentação operacional mínima,Parcial em README.md
CORS rate limiting logs estruturados,Tarefa técnica,F5 — Go-Live,Infra,Alta,2026-07-08,2026-07-17,Não iniciada,Backend,Hardening backend produção,—
Bug bash e correções críticas,Entrega,F5 — Go-Live,Produto,Alta,2026-07-08,2026-07-17,Não iniciada,Produto,Estabilização pré-launch 17/07,—
Go-Live: cadastro academia + usuário,Go-Live,F5 — Go-Live,"Auth, Multi-tenant",Alta,2026-07-08,2026-07-17,Não iniciada,Produto,Checklist funcional cadastro correto,—
Go-Live: perfil comercial usado pela IA,Go-Live,F5 — Go-Live,Academia,Alta,2026-07-08,2026-07-17,Não iniciada,Produto,Checklist funcional perfil editável e consumido pela IA,—
Go-Live: WhatsApp isolado por academia,Go-Live,F5 — Go-Live,WhatsApp,Alta,2026-07-08,2026-07-17,Não iniciada,Produto,Checklist funcional conexão multi-tenant,—
Go-Live: campanha dispara tag correta,Go-Live,F5 — Go-Live,Campanhas,Alta,2026-07-08,2026-07-17,Não iniciada,Produto,Checklist funcional automação campanha,—
Go-Live: IA responde com contexto academia,Go-Live,F5 — Go-Live,Chat IA,Alta,2026-07-08,2026-07-17,Não iniciada,Produto,Checklist funcional IA contextualizada,—
Go-Live: supervisão e takeover humano,Go-Live,F5 — Go-Live,Chat IA,Alta,2026-07-08,2026-07-17,Não iniciada,Produto,Checklist funcional operador assume conversa,—
Go-Live: CRM reflete stages,Go-Live,F5 — Go-Live,CRM,Alta,2026-07-08,2026-07-17,Em andamento,Produto,Checklist funcional pipeline atualizado,Kanban funcional; depende fluxo WhatsApp/IA
Go-Live: lead converte em aluno,Go-Live,F5 — Go-Live,Alunos,Alta,2026-07-08,2026-07-17,Não iniciada,Produto,Checklist funcional conversão matrícula,—
Go-Live: relatórios exportam CSV/XLSX,Go-Live,F5 — Go-Live,Relatórios,Alta,2026-07-08,2026-07-17,Em andamento,Produto,Checklist funcional exportação,Só relatório de leads
Go-Live: RLS testado cross-tenant,Go-Live,F5 — Go-Live,Multi-tenant,Alta,2026-07-08,2026-07-17,Em andamento,Database,Tenant A não vê dados tenant B,RLS implementado; teste formal pendente
Go-Live: webhooks autenticados,Go-Live,F5 — Go-Live,Integração,Alta,2026-07-08,2026-07-17,Não iniciada,Backend,n8n e WhatsApp webhooks com auth,—
Go-Live: 1 academia piloto onboarded,Go-Live,F5 — Go-Live,Produto,Alta,2026-07-08,2026-07-17,Não iniciada,Produto,Academia real operando no MVP,—
Go-Live: fluxo demo documentado,Go-Live,F5 — Go-Live,Produto,Alta,2026-07-08,2026-07-17,Não iniciada,Produto,Gravação ou doc do fluxo completo,—
